#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
;;kce;kc;Kaivi
;;cav;ca;Cavineña
;;yns;yn;Yansi
;;bza;bz;Bandi
;;kae;ka;Ketangalan
;;guv;gu;Gey
;;cko;ck;Anufo
;;tcq;tc;Kaiy
;;laj;la;Lango (Uganda)
;;bca;bc;Central Bai
;;ttf;tt;Tuotomb
;;msb;ms;Masbatenyo
;;gzi;gz;Gazi
;;hmk;hm;Maek
;;gyb;gy;Garus
;;bga;bg;Gwamhi-Wuri
;;ykt;yk;Kathu
;;mad;ma;Madurese
;;las;la;Lama (Togo)
;;vmw;vm;Makhuwa
;;cot;co;Caquinte
;;chq;ch;Quiotepec Chinantec
;;nle;nl;East Nyala
;;mbm;mb;Ombamba
;;kuk;ku;Kepo'
;;kqr;kq;Kimaragang
;;giz;gi;South Giziga
;;bft;bf;Balti
;;dba;db;Bangi Me
;;pov;po;Upper Guinea Crioulo
;;crh;cr;Crimean Tatar
;;gdn;gd;Umanakaina
;;xug;xu;Kunigami
;;bjv;bj;Bedjond
;;ajz;aj;Amri Karbi
;;rmb;rm;Rembarunga
;;bsu;bs;Bahonsuai
;;tsl;ts;Ts'ün-Lao
;;yky;yk;Yakoma
;;jsl;js;Japanese Sign Language
;;zgb;zg;Guibei Zhuang
;;row;ro;Dela-Oenale
;;mxg;mx;Mbangala
;;ksn;ks;Kasiguranin
;;ksb;ks;Shambala
;;djw;dj;Djawi
;;kqy;kq;Koorete
;;soy;so;Miyobe
;;kus;ku;Kusaal
;;iri;ir;Irigwe
;;xrb;xr;Eastern Karaboro
;;shd;sh;Kundal Shahi
;;mxw;mx;Namo
;;kpt;kp;Karata
;;gdr;gd;Wipi
;;hmd;hm;Large Flowery Miao
;;bfu;bf;Gahri
;;rmq;rm;Caló
;;lje;lj;Rampi
;;tdv;td;Toro
;;bgo;bg;Baga Koga
;;kny;kn;Kanyok
;;baw;ba;Bambili-Bambui
;;nph;np;Phom Naga
;;agq;ag;Aghem
;;cab;ca;Garifuna
;;djn;dj;Djauan
;;pao;pa;Northern Paiute
;;nwb;nw;Nyabwa
;;kcs;kc;Koenoem
;;tja;tj;Tajuasohn
;;bqd;bq;Bung
;;wdj;wd;Wadjiginy
;;lej;le;Lengola
;;cuu;cu;Tai Ya
;;xru;xr;Marriammu
;;nnq;nn;Ngindo
;;esu;es;Central Yupik
;;cbg;cb;Chimila
;;cka;ck;Khumi Awa Chin
;;kkr;kk;Kir-Balar
;;aaz;aa;Amarasi
;;suz;su;Sunwar
;;std;st;Sentinel
;;bmq;bm;Bomu
;;stq;st;Saterfriesisch
;;hwa;hw;Wané
;;nuf;nu;Nusu
;;xkf;xk;Khengkha
;;gra;gr;Rajput Garasia
;;bnl;bn;Boon
;;goo;go;Gone Dau
;;gez;ge;Geez
;;lzl;lz;Litzlitz
;;ton;to;Tonga (Tonga Islands)
;;dgx;dg;Doghoro
;;ktn;kt;Karitiâna
;;kop;ko;Waube
;;zay;za;Zayse-Zergulla
;;dbv;db;Dungu
;;xhc;xh;Hunnic
;;mtb;mt;Anyin Morofo
;;alw;al;Alaba-K’abeena
;;aqd;aq;Ampari Dogon
;;wdu;wd;Wadjigu
;;ytp;yt;Thopho
;;sys;sy;Sinyar
;;knr;kn;Kaningra
;;gcd;gc;Ganggalida
;;txo;tx;Toto
;;wmm;wm;Maiwa (Indonesia)
;;mii;mi;Chigmecatitlán Mixtec
;;llo;ll;Khlor
;;bnj;bn;Eastern Tawbuid
;;ncs;nc;Nicaraguan Sign Language
;;pcr;pc;Panang
;;uln;ul;Unserdeutsch
;;ifk;if;Tuwali Ifugao
;;nuk;nu;Nuu-chah-nulth
;;gld;gl;Nanai
;;avi;av;Avikam
;;xil;xi;Illyrian
;;dzd;dz;Daza
;;sxc;sx;Sicanian
;;cie;ci;Cineni
;;oni;on;Onin
;;bne;bn;Bintauna
;;nyb;ny;Nyangbo
;;cly;cl;Eastern Highland Chatino
;;ylr;yl;Yalarnnga
;;mkl;mk;Mokole
;;izr;iz;Izere
;;bwj;bw;Láá Láá Bwamu
;;wgb;wg;Wagawaga
;;sor;so;Somrai
;;mmj;mm;Majhwar
;;agl;ag;Fembe
;;nim;ni;Nilamba
;;gna;gn;Kaansa
;;ipi;ip;Ipili
;;zul;zu;Zulu
;;bja;bj;Budza
;;zos;zo;Francisco León Zoque
;;ers;er;Ersu
;;pps;pp;San Luís Temalacayuca Popoloca
;;bwq;bw;Southern Bobo Madaré
;;tww;tw;Tuwari
;;sgo;sg;Songa
;;njo;nj;Ao Naga
;;dac;da;Dambi
;;kdl;kd;Tsikimba
;;ghe;gh;Southern Ghale
;;diq;di;Dimli (individual language)
;;gic;gi;Gail
;;air;ai;Airoran
;;aka;ak;Akan
;;sid;si;Sidamo
;;aax;aa;Mandobo Atas
;;tnr;tn;Bedik
;;pir;pi;Piratapuyo
;;kcb;kc;Kawacha
;;cas;ca;Tsimané
;;lau;la;Laba
;;cdm;cd;Chepang
;;thn;th;Thachanadan
;;nal;na;Nalik
;;kja;kj;Mlap
;;yee;ye;Yimas
;;kum;ku;Kumyk
;;bvm;bv;Bamunka
;;ddn;dd;Dendi (Benin)
;;mhg;mh;Margu
;;aik;ai;Ake
;;kux;ku;Kukatja
;;aui;au;Anuki
;;sgc;sg;Kipsigis
;;pqa;pq;Pa'a
;;kzt;kz;Tambunan Dusun
;;enb;en;Markweeta
;;gwu;gw;Guwamu
;;dyg;dy;Villa Viciosa Agta
;;mqg;mq;Kota Bangun Kutai Malay
;;fuc;fu;Pulaar
;;kxl;kx;Nepali Kurux
;;qvl;qv;Cajatambo North Lima Quechua
;;mfs;mf;Mexican Sign Language
;;xoc;xo;O'chi'chi'
;;tix;ti;Southern Tiwa
;;bei;be;Bekati'
;;vin;vi;Vinza
;;fak;fa;Fang (Cameroon)
;;cds;cd;Chadian Sign Language
;;tsy;ts;Tebul Sign Language
;;ulb;ul;Ulukwumi
;;prw;pr;Parawen
;;def;de;Dezfuli
;;lie;li;Likila
;;gyl;gy;Gayil
;;ybe;yb;West Yugur
;;afz;af;Obokuitai
;;lrm;lr;Marama
;;zyn;zy;Yongnan Zhuang
;;piy;pi;Piya-Kwonci
;;kck;kc;Kalanga
;;val;va;Vehes
;;csk;cs;Jola-Kasa
;;blr;bl;Blang
;;fos;fo;Siraya
;;yam;ya;Yamba
;;man;ma;Mandingo
;;bkq;bk;Bakairí
;;pef;pe;Northeastern Pomo
;;uli;ul;Ulithian
;;mfb;mf;Bangka
;;bta;bt;Bata
;;cim;ci;Cimbrian
;;jac;ja;Popti'
;;uda;ud;Uda
;;amb;am;Ambo
;;wca;wc;Yanomámi
;;tvn;tv;Tavoyan
;;yba;yb;Yala
;;grx;gr;Guriaso
;;fbl;fb;West Albay Bikol
;;itt;it;Maeng Itneg
;;dyy;dy;Dyaabugay
;;alc;al;Qawasqar
;;cuc;cu;Usila Chinantec
;;jab;ja;Hyam
;;ayd;ay;Ayabadhu
;;trv;tr;Taroko
;;hdn;hd;Northern Haida
;;hid;hi;Hidatsa
;;llp;ll;North Efate
;;hnd;hn;Southern Hindko
;;mbu;mb;Mbula-Bwazza
;;vmq;vm;Soyaltepec Mixtec
;;thx;th;The
;;cod;co;Cocama-Cocamilla
;;gvm;gv;Gurmana
;;mea;me;Menka
;;cmi;cm;Emberá-Chamí
;;puk;pu;Pu Ko
;;gwa;gw;Mbato
;;cub;cu;Cubeo
;;coa;co;Cocos Islands Malay
;;rie;ri;Rien
;;psm;ps;Pauserna
;;bqr;bq;Burusu
;;amg;am;Amarag
;;pml;pm;Lingua Franca
;;aao;aa;Algerian Saharan Arabic
;;koj;ko;Sara Dunjo
;;orv;or;Old Russian
;;skp;sk;Sekapan
;;mid;mi;Mandaic
;;wtk;wt;Watakataui
;;bzz;bz;Evant
;;cip;ci;Chiapanec
;;gse;gs;Ghanaian Sign Language
;;yri;yr;Yarí
;;trg;tr;Lishán Didán
;;wlx;wl;Wali (Ghana)
;;ace;ac;Achinese
;;xkp;xk;Kabatei
;;jdg;jd;Jadgali
;;khz;kh;Keapara
;;ruz;ru;Ruma
;;zum;zu;Kumzari
;;spe;sp;Sepa (Papua New Guinea)
;;osc;os;Oscan
;;bxo;bx;Barikanchi
;;zne;zn;Zande (individual language)
;;thu;th;Thuri
;;sxb;sx;Suba
;;aum;au;Asu (Nigeria)
;;tgt;tg;Central Tagbanwa
;;kwx;kw;Khirwar
;;abo;ab;Abon
;;ary;ar;Moroccan Arabic
;;gak;ga;Gamkonora
;;tbm;tb;Tagbu
;;jge;jg;Judeo-Georgian
;;cwd;cw;Woods Cree
;;jko;jk;Kubo
;;mpb;mp;Mullukmulluk
;;mlq;ml;Western Maninkakan
;;boa;bo;Bora
;;nbm;nb;Ngbaka Ma'bo
;;bti;bt;Burate
;;kam;ka;Kamba (Kenya)
;;lmh;lm;Lambichhong
;;stk;st;Arammba
;;lmi;lm;Lombi
;;lev;le;Lamma
;;bnw;bn;Bisis
;;pih;pi;Pitcairn-Norfolk
;;kcq;kc;Kamo
;;bpb;bp;Barbacoas
;;psq;ps;Pasi
;;mjw;mj;Karbi
;;yla;yl;Yaul
;;int;in;Intha
;;rin;ri;Nungu
;;obl;ob;Oblo
;;hma;hm;Southern Mashan Hmong
;;kpa;kp;Kutto
;;jnj;jn;Yemsa
;;cng;cn;Northern Qiang
;;bui;bu;Bongili
;;chf;ch;Tabasco Chontal
;;typ;ty;Thaypan
;;mvo;mv;Marovo
;;xqt;xq;Qatabanian
;;akg;ak;Anakalangu
;;bvv;bv;Baniva
;;twd;tw;Twents
;;kfb;kf;Northwestern Kolami
;;xsp;xs;Silopi
;;dwr;dw;Dawro
;;prb;pr;Lua'
;;bvl;bv;Bolivian Sign Language
;;txq;tx;Tii
;;dny;dn;Dení
;;pyy;py;Pyen
;;now;no;Nyambo
;;nmf;nm;Tangkhul Naga
;;yhd;yh;Judeo-Iraqi Arabic
;;vro;vr;Võro
;;yir;yi;North Awyu
;;pgl;pg;Primitive Irish
;;knx;kn;Kendayan
;;mhj;mh;Mogholi
;;agc;ag;Agatu
;;phk;ph;Phake
;;btw;bt;Butuanon
;;tsa;ts;Tsaangi
;;fag;fa;Finongan
;;mxp;mx;Tlahuitoltepec Mixe
;;lpo;lp;Lipo
;;ism;is;Masimasi
;;ont;on;Ontenu
;;scf;sc;San Miguel Creole French
;;xfa;xf;Faliscan
;;tci;tc;Wára
;;cuj;cu;Mashco Piro
;;ili;il;Ili Turki
;;tlp;tl;Filomena Mata-Coahuitlán Totonac
;;wmc;wm;Wamas
;;ksd;ks;Kuanua
;;how;ho;Honi
;;khs;kh;Kasua
;;myh;my;Makah
;;ula;ul;Fungwa
;;udm;ud;Udmurt
;;rth;rt;Ratahan
;;beb;be;Bebele
;;kjh;kj;Khakas
;;wag;wa;Wa'ema
;;aif;ai;Agi
;;yyu;yy;Yau (Sandaun Province)
;;tun;tu;Tunica
;;sut;su;Subtiaba
;;maw;ma;Mampruli
;;hut;hu;Humla
;;bda;bd;Bayot
;;djf;dj;Djangun
;;sbw;sb;Simba
;;ggr;gg;Aghu Tharnggalu
;;amm;am;Ama (Papua New Guinea)
;;ngt;ng;Ngeq
;;nfr;nf;Nafaanra
;;abj;ab;Aka-Bea
;;twi;tw;Twi
;;kmh;km;Kalam
;;pym;py;Fyam
;;lrc;lr;Northern Luri
;;fry;fr;Western Frisian
;;zra;zr;Kara (Korea)
;;tlb;tl;Tobelo
;;imn;im;Imonda
;;cym;cy;Welsh
;;sse;ss;Balangingi
;;pii;pi;Pini
;;buf;bu;Bushoong
;;tvs;tv;Taveta
;;doq;do;Dominican Sign Language
;;msm;ms;Agusan Manobo
;;kif;ki;Eastern Parbate Kham
;;enr;en;Emumu
;;ysn;ys;Sani
;;ura;ur;Urarina
;;mdu;md;Mboko
;;goe;go;Gongduk
;;egy;eg;Egyptian (Ancient)
;;twq;tw;Tasawaq
;;bqj;bq;Bandial
;;lmr;lm;Lamalera
;;kts;kt;South Muyu
;;waq;wa;Wageman
;;sjb;sj;Sajau Basap
;;wac;wa;Wasco-Wishram
;;rys;ry;Yaeyama
;;lbu;lb;Labu
;;aab;aa;Alumu-Tesu
;;far;fa;Fataleka
;;pea;pe;Peranakan Indonesian
;;mgj;mg;Abureni
;;evh;ev;Uvbie
;;tuu;tu;Tututni
;;bli;bl;Bolia
;;omt;om;Omotik
;;ksv;ks;Kusu
;;nhx;nh;Isthmus-Mecayapan Nahuatl
;;adf;ad;Dhofari Arabic
;;bdl;bd;Indonesian Bajau
;;ndb;nd;Kenswei Nsei
;;lse;ls;Lusengo
;;daq;da;Dandami Maria
;;eto;et;Eton (Cameroon)
;;wun;wu;Bungu
;;ztm;zt;San Agustín Mixtepec Zapotec
;;but;bu;Bungain
;;ziw;zi;Zigula
;;too;to;Xicotepec De Juárez Totonac
;;buw;bu;Bubi
;;idd;id;Ede Idaca
;;dhn;dh;Dhanki
;;ciy;ci;Chaima
;;bbb;bb;Barai
;;cpx;cp;Pu-Xian Chinese
;;ekm;ek;Elip
;;xup;xu;Upper Umpqua
;;wiy;wi;Wiyot
;;pbv;pb;Pnar
;;keo;ke;Kakwa
;;ekr;ek;Yace
;;tox;to;Tobian
;;pub;pu;Purum
;;jvd;jv;Javindo
;;eot;eo;Beti (Côte d'Ivoire)
;;mzd;mz;Malimba
;;mlh;ml;Mape
;;kha;kh;Khasi
;;xwl;xw;Western Xwla Gbe
;;lsl;ls;Latvian Sign Language
;;frk;fr;Frankish
;;tpe;tp;Tippera
;;bwx;bw;Bu-Nao Bunu
;;wbe;wb;Waritai
;;mnd;mn;Mondé
;;xpu;xp;Punic
;;ncr;nc;Ncane
;;aho;ah;Ahom
;;bzq;bz;Buli (Indonesia)
;;pay;pa;Pech
;;tzh;tz;Tzeltal
;;bnb;bn;Bookan
;;kgv;kg;Karas
;;pad;pa;Paumarí
;;mpo;mp;Miu
;;paw;pa;Pawnee
;;mmv;mm;Miriti
;;got;go;Gothic
;;elo;el;El Molo
;;tdl;td;Sur
;;bmh;bm;Kein
;;wrg;wr;Warungu
;;wav;wa;Waka
;;hlt;hl;Nga La
;;igw;ig;Igwe
;;xib;xi;Iberian
;;tts;tt;Northeastern Thai
;;ave;av;Avestan
;;sle;sl;Sholaga
;;yup;yu;Yukpa
;;jam;ja;Jamaican Creole English
;;bxv;bx;Berakou
;;fay;fa;Southwestern Fars
;;snf;sn;Noon
;;luw;lu;Luo (Cameroon)
;;gon;go;Gondi
;;xsl;xs;South Slavey
;;mes;me;Masmaje
;;bhd;bh;Bhadrawahi
;;ndi;nd;Samba Leko
;;cut;cu;Teutila Cuicatec
;;yub;yu;Yugambal
;;apl;ap;Lipan Apache
;;tbw;tb;Tagbanwa
;;xlp;xl;Lepontic
;;ttp;tt;Tombelala
;;jur;ju;Jurúna
;;xra;xr;Krahô
;;wku;wk;Kunduvadi
;;qxq;qx;Qashqa'i
;;cho;ch;Choctaw
;;zpa;zp;Lachiguiri Zapotec
;;wnb;wn;Wanambre
;;quh;qu;South Bolivian Quechua
;;awk;aw;Awabakal
;;urh;ur;Urhobo
;;kmo;km;Kwoma
;;swo;sw;Shanenawa
;;mwb;mw;Juwal
;;dmy;dm;Demta
;;tyu;ty;Kua
;;srf;sr;Nafi
;;tmt;tm;Tasmate
;;dgg;dg;Doga
;;yll;yl;Yil
;;oub;ou;Glio-Oubi
;;kks;kk;Giiwo
;;vmh;vm;Maraghei
;;loi;lo;Loma (Côte d'Ivoire)
;;bct;bc;Bendi
;;sir;si;Siri
;;ffm;ff;Maasina Fulfulde
;;kba;kb;Kalarko
;;bof;bo;Bolon
;;aod;ao;Andarum
;;yml;ym;Iamalele
;;tzo;tz;Tzotzil
;;bpk;bp;Orowe
;;emy;em;Epigraphic Mayan
;;hhy;hh;Hoyahoya
;;ojw;oj;Western Ojibwa
;;zka;zk;Kaimbulawa
;;nlg;nl;Gela
;;rue;ru;Rusyn
;;peo;pe;Old Persian (ca. 600-400 B.C.)
;;lnb;ln;Mbalanhu
;;lgb;lg;Laghu
;;lal;la;Lalia
;;pmu;pm;Mirpur Panjabi
;;krj;kr;Kinaray-A
;;wxa;wx;Waxianghua
;;mxy;mx;Southeastern Nochixtlán Mixtec
;;tge;tg;Eastern Gorkha Tamang
;;ajp;aj;South Levantine Arabic
;;uka;uk;Kaburi
;;wif;wi;Wik-Keyangan
;;snm;sn;Southern Ma'di
;;ltc;lt;Late Middle Chinese
;;sbj;sb;Surbakhal
;;oyy;oy;Oya'oya
;;psc;ps;Persian Sign Language
;;sap;sa;Sanapaná
;;whg;wh;North Wahgi
;;kfg;kf;Kudiya
;;esn;es;Salvadoran Sign Language
;;xnr;xn;Kangri
;;mnm;mn;Mapena
;;gft;gf;Gafat
;;bqx;bq;Baangi
;;ars;ar;Najdi Arabic
;;ybn;yb;Yabaâna
;;kuv;ku;Kur
;;wkl;wk;Kalanadi
;;osx;os;Old Saxon
;;mqk;mq;Rajah Kabunsuwan Manobo
;;nut;nu;Nung (Viet Nam)
;;mgq;mg;Malila
;;mpt;mp;Mian
;;kfo;kf;Koro (Côte d'Ivoire)
;;wnu;wn;Usan
;;zma;zm;Manda (Australia)
;;etb;et;Etebi
;;zyg;zy;Yang Zhuang
;;ndq;nd;Ndombe
;;lbg;lb;Laopang
;;dhg;dh;Dhangu
;;nmm;nm;Manangba
;;alj;al;Alangan
;;tpv;tp;Tanapag
;;pri;pr;Paicî
;;weu;we;Welaung
;;inl;in;Indonesian Sign Language
;;glg;gl;Galician
;;zha;zh;Zhuang
;;iba;ib;Iban
;;etx;et;Eten
;;beq;be;Beembe
;;wsv;ws;Wotapuri-Katarqalai
;;sam;sa;Samaritan Aramaic
;;omw;om;South Tairora
;;mlu;ml;To'abaita
;;klq;kl;Rumu
;;ged;ge;Gade
;;scx;sc;Sicel
;;qvc;qv;Cajamarca Quechua
;;zpc;zp;Choapan Zapotec
;;kch;kc;Vono
;;tbe;tb;Tanimbili
;;mir;mi;Isthmus Mixe
;;moz;mo;Mukulu
;;tam;ta;Tamil
;;fab;fa;Fa D'ambu
;;dbn;db;Duriankere
;;tmh;tm;Tamashek
;;lgn;lg;Opuuo
;;wlo;wl;Wolio
;;mkr;mk;Malas
;;btr;bt;Baetora
;;vae;va;Vale
;;ncf;nc;Notsi
;;fwe;fw;Fwe
;;yig;yi;Wusa Nasu
;;kre;kr;Panará
;;jpn;jp;Japanese
;;bop;bo;Bonkiman
;;slt;sl;Sila
;;sdm;sd;Semandang
;;oui;ou;Old Uighur
;;bcz;bc;Bainouk-Gunyaamolo
;;koy;ko;Koyukon
;;kau;ka;Kanuri
;;tpn;tp;Tupinambá
;;khh;kh;Kehu
;;awy;aw;Edera Awyu
;;atm;at;Ata
;;dng;dn;Dungan
;;xtp;xt;San Miguel Piedras Mixtec
;;muo;mu;Nyong
;;aea;ae;Areba
;;njd;nj;Ndonde Hamba
;;lrt;lr;Larantuka Malay
;;ynd;yn;Yandruwandha
;;mwc;mw;Are
;;dms;dm;Dampelas
;;uzb;uz;Uzbek
;;tme;tm;Tremembé
;;fun;fu;Fulniô
;;nie;ni;Niellim
;;xtq;xt;Tumshuqese
;;mrs;mr;Maragus
;;niw;ni;Nimo
;;ymc;ym;Southern Muji
;;wah;wa;Watubela
;;tif;ti;Tifal
;;kxu;kx;Kui (India)
;;kyf;ky;Kouya
;;klj;kl;Turkic Khalaj
;;vmv;vm;Valley Maidu
;;spk;sp;Sengo
;;bas;ba;Basa (Cameroon)
;;dru;dr;Rukai
;;xad;xa;Adai
;;jiy;ji;Buyuan Jinuo
;;itr;it;Iteri
;;hve;hv;San Dionisio Del Mar Huave
;;dhw;dh;Dhanwar (Nepal)
;;rad;ra;Rade
;;kvo;kv;Dobel
;;noi;no;Noiri
;;gea;ge;Geruma
;;jqr;jq;Jaqaru
;;iry;ir;Iraya
;;boq;bo;Bogaya
;;mae;ma;Bo-Rukul
;;nlu;nl;Nchumbulu
;;aau;aa;Abau
;;wmd;wm;Mamaindé
;;gbz;gb;Zoroastrian Dari
;;kwe;kw;Kwerba
;;bgp;bg;Eastern Balochi
;;toi;to;Tonga (Zambia)
;;daw;da;Davawenyo
;;lzh;lz;Literary Chinese
;;xzm;xz;Zemgalian
;;ior;io;Inor
;;sss;ss;Sô
;;rcf;rc;Réunion Creole French
;;vmj;vm;Ixtayutla Mixtec
;;raa;ra;Dungmali
;;zmn;zm;Mbangwe
;;hnn;hn;Hanunoo
;;ske;sk;Seke (Vanuatu)
;;ind;in;Indonesian
;;ije;ij;Biseni
;;adn;ad;Adang
;;apw;ap;Western Apache
;;rof;ro;Rombo
;;mel;me;Central Melanau
;;ajg;aj;Aja (Benin)
;;xse;xs;Sempan
;;rea;re;Rerau
;;pnv;pn;Pinigura
;;dup;du;Duano
;;gdl;gd;Dirasha
;;klk;kl;Kono (Nigeria)
;;guu;gu;Yanomamö
;;btl;bt;Bhatola
;;plr;pl;Palaka Senoufo
;;mic;mi;Mi'kmaq
;;xmt;xm;Matbat
;;skv;sk;Skou
;;kzb;kz;Kaibobo
;;teg;te;Teke-Tege
;;nuj;nu;Nyole
;;ads;ad;Adamorobe Sign Language
;;bin;bi;Bini
;;jvn;jv;Caribbean Javanese
;;emn;em;Eman
;;nck;nc;Nakara
;;isd;is;Isnag
;;otm;ot;Eastern Highland Otomi
;;zib;zi;Zimbabwe Sign Language
;;sgk;sg;Sangkong
;;ntj;nt;Ngaanyatjarra
;;myz;my;Classical Mandaic
;;mkk;mk;Byep
;;aur;au;Aruek
;;sfs;sf;South African Sign Language
;;kde;kd;Makonde
;;erh;er;Eruwa
;;bhn;bh;Bohtan Neo-Aramaic
;;owl;ow;Old Welsh
;;llf;ll;Hermit
;;gve;gv;Duwet
;;tmu;tm;Iau
;;cal;ca;Carolinian
;;ktc;kt;Kholok
;;guh;gu;Guahibo
;;bro;br;Brokkat
;;mdn;md;Mbati
;;rkh;rk;Rakahanga-Manihiki
;;otz;ot;Ixtenco Otomi
;;lis;li;Lisu
;;tan;ta;Tangale
;;sdl;sd;Saudi Arabian Sign Language
;;asi;as;Buruwai
;;soq;so;Kanasi
;;mnx;mn;Manikion
;;nha;nh;Nhanda
;;inm;in;Minaean
;;aze;az;Azerbaijani
;;ktw;kt;Kato
;;rej;re;Rejang
;;aha;ah;Ahanta
;;nab;na;Southern Nambikuára
;;kwo;kw;Kwomtari
;;tew;te;Tewa (USA)
;;bdn;bd;Baldemu
;;umb;um;Umbundu
;;amu;am;Guerrero Amuzgo
;;dio;di;Dibo
;;nyc;ny;Nyanga-li
;;cry;cr;Cori
;;smm;sm;Musasa
;;nnb;nn;Nande
;;nyy;ny;Nyakyusa-Ngonde
;;mvu;mv;Marfa
;;lch;lc;Luchazi
;;kbw;kb;Kaiep
;;xwo;xw;Written Oirat
;;gde;gd;Gude
;;ssj;ss;Sausi
;;bpj;bp;Binji
;;arr;ar;Karo (Brazil)
;;lil;li;Lillooet
;;esk;es;Northwest Alaska Inupiatun
;;fmu;fm;Far Western Muria
;;mor;mo;Moro
;;has;ha;Haisla
;;wga;wg;Wagaya
;;mbb;mb;Western Bukidnon Manobo
;;knm;kn;Kanamarí
;;ken;ke;Kenyang
;;hei;he;Heiltsuk
;;luy;lu;Luyia
;;kzx;kz;Kamarian
;;ist;is;Istriot
;;poi;po;Highland Popoluca
;;nse;ns;Nsenga
;;diy;di;Diuwe
;;mtx;mt;Tidaá Mixtec
;;zin;zi;Zinza
;;pag;pa;Pangasinan
;;ert;er;Eritai
;;ebg;eb;Ebughu
;;mya;my;Burmese
;;phu;ph;Phuan
;;lue;lu;Luvale
;;blh;bl;Kuwaa
;;rml;rm;Baltic Romani
;;pog;po;Potiguára
;;mhh;mh;Maskoy Pidgin
;;apz;ap;Safeyoka
;;avv;av;Avá-Canoeiro
;;ngq;ng;Ngurimi
;;mqp;mq;Manipa
;;bxg;bx;Bangala
;;tin;ti;Tindi
;;kev;ke;Kanikkaran
;;gos;go;Gronings
;;tns;tn;Tenis
;;lbl;lb;Libon Bikol
;;ytw;yt;Yout Wam
;;spr;sp;Saparua
;;jwi;jw;Jwira-Pepesa
;;rak;ra;Tulu-Bohuai
;;ppt;pp;Pare
;;obt;ob;Old Breton
;;zeh;ze;Eastern Hongshuihe Zhuang
;;wyb;wy;Wangaaybuwan-Ngiyambaa
;;mdz;md;Suruí Do Pará
;;zaq;za;Aloápam Zapotec
;;nbs;nb;Namibian Sign Language
;;koc;ko;Kpati
;;bxa;bx;Bauro
;;bzg;bz;Babuza
;;brb;br;Lave
;;cbh;cb;Cagua
;;gcl;gc;Grenadian Creole English
;;laf;la;Lafofa
;;gaa;ga;Ga
;;cbo;cb;Izora
;;gat;ga;Kenati
;;oin;oi;Inebu One
;;lul;lu;Olu'bo
;;mud;mu;Mednyj Aleut
;;msh;ms;Masikoro Malagasy
;;mzy;mz;Mozambican Sign Language
;;mbp;mb;Malayo
;;xli;xl;Liburnian
;;jax;ja;Jambi Malay
;;akk;ak;Akkadian
;;bcb;bc;Bainouk-Samik
;;crn;cr;El Nayar Cora
;;huz;hu;Hunzib
;;itk;it;Judeo-Italian
;;emk;em;Eastern Maninkakan
;;tep;te;Tepecano
;;hom;ho;Homa
;;zza;zz;Zaza
;;anl;an;Anu
;;bxu;bx;China Buriat
;;sll;sl;Salt-Yui
;;bfa;bf;Bari
;;ahp;ah;Aproumu Aizi
;;byt;by;Berti
;;brh;br;Brahui
;;kmz;km;Khorasani Turkish
;;bbt;bb;Mburku
;;xkz;xk;Kurtokha
;;cms;cm;Messapic
;;aku;ak;Akum
;;gbg;gb;Gbanziri
;;pme;pm;Pwaamei
;;urz;ur;Uru-Eu-Wau-Wau
;;kme;km;Bakole
;;dif;di;Dieri
;;dep;de;Pidgin Delaware
;;byf;by;Bete
;;bgc;bg;Haryanvi
;;ywn;yw;Yawanawa
;;mjo;mj;Malankuravan
;;acr;ac;Achi
;;hno;hn;Northern Hindko
;;nss;ns;Nali
;;irx;ir;Kamberau
;;bym;by;Bidyara
;;zca;zc;Coatecas Altas Zapotec
;;sbt;sb;Kimki
;;yms;ym;Mysian
;;mfo;mf;Mbe
;;yel;ye;Yela
;;wwr;ww;Warrwa
;;kps;kp;Tehit
;;hml;hm;Luopohe Hmong
;;grb;gr;Grebo
;;tds;td;Doutai
;;kmv;km;Karipúna Creole French
;;neb;ne;Toura (Côte d'Ivoire)
;;nwm;nw;Nyamusa-Molo
;;ste;st;Liana-Seti
;;ddw;dd;Dawera-Daweloor
;;ttz;tt;Tsum
;;pcj;pc;Parenga
;;lek;le;Leipon
;;ans;an;Anserma
;;njr;nj;Njerep
;;iwo;iw;Iwur
;;mcz;mc;Mawan
;;zmt;zm;Maringarr
;;gib;gi;Gibanawa
;;caa;ca;Chortí
;;kxd;kx;Brunei
;;tkp;tk;Tikopia
;;lns;ln;Lamnso'
;;bnv;bn;Bonerif
;;est;es;Estonian
;;akt;ak;Akolet
;;chp;ch;Chipewyan
;;zqe;zq;Qiubei Zhuang
;;rwo;rw;Rawa
;;myq;my;Forest Maninka
;;llg;ll;Lole
;;bno;bn;Bantoanon
;;bwc;bw;Bwile
;;gid;gi;Gidar
;;box;bo;Buamu
;;bmr;bm;Muinane
;;nwc;nw;Classical Newari
;;djo;dj;Jangkang
;;sro;sr;Campidanese Sardinian
;;xtg;xt;Transalpine Gaulish
;;shk;sh;Shilluk
;;okm;ok;Middle Korean (10th-16th cent.)
;;pan;pa;Panjabi
;;utp;ut;Amba (Solomon Islands)
;;axm;ax;Middle Armenian
;;ldh;ld;Lamja-Dengsa-Tola
;;con;co;Cofán
;;cby;cb;Carabayo
;;cdf;cd;Chiru
;;xls;xl;Lusitanian
;;nhp;nh;Isthmus-Pajapan Nahuatl
